fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
3.9,225,0.4,4.2,0.03,29.0,118.0,989,3.57,0.36,12.8,8
7.3,0.25,0.26,7.2,48,52.0,207.0,0.99587,3.12,0.37,9.2,5
6.7,0.24,0.32,9.0,23,20.0,109.0,0.99262,3.34,0.35,12.6,6
8.3,0.3,0.36,10.0,42,33.0,169.0,0.9982,3.23,0.51,9.3,6
6.6,0.38,0.15,4.6,44,25.0,78.0,0.9931,3.11,0.38,10.2,6
7.6,0.54,0.23,2.0,29,13.0,151.0,0.9931,3.04,0.33,10.4,5
6.8,0.21,0.36,18.1,46,32.0,133.0,1.0,3.27,0.48,8.8,5
7.1,0.39,0.79,1.4,194,23.0,90.0,0.99212,3.17,0.46,10.5,6
6.8,0.18,0.3,12.8,62,19.0,171.0,0.99808,3.0,0.52,9.0,7
6.7,0.28,0.34,8.9,48,32.0,111.0,0.99455,3.25,0.54,11.0,7
7.1,0.53,0.24,0.8,29,29.0,86.0,993,3.16,0.32,9.1,4
6.0,0.22,0.23,5.0,45,10.0,122.0,0.99261,2.94,0.63,10.0,6
6.7,0.16,0.32,12.5,35,18.0,156.0,0.99666,2.88,0.36,9.0,6
7.4,0.35,0.2,13.9,54,63.0,229.0,0.99888,3.11,0.5,8.9,6
7.0,0.31,0.26,7.4,69,28.0,160.0,0.9954,3.13,0.46,9.8,6
7.3,0.26,0.33,17.85,49,41.5,195.0,1.0,3.06,0.44,9.1,7
6.6,0.33,0.41,2.0,27,14.0,79.0,0.99063,3.27,0.63,12.4,6
6.5,0.36,0.16,1.3,54,11.0,107.0,0.99398,3.19,0.39,8.5,5
6.6,0.33,0.24,16.05,45,31.0,147.0,0.99822,3.08,0.52,9.2,5
7.0,0.19,0.33,6.3,32,42.0,127.0,0.99182,3.31,0.38,12.2,6
9.1,0.28,0.49,2.0,59,10.0,112.0,0.9958,3.15,0.46,10.1,5
5.0,0.33,0.16,1.5,49,10.0,97.0,0.9917,3.48,0.44,10.7,6
7.1,0.17,0.4,14.55,47,47.0,156.0,0.99945,3.34,0.78,9.1,6
6.1,0.41,0.14,10.4,37,18.0,119.0,996,3.38,0.45,10.0,5
6.1,0.24,0.32,9.0,31,41.0,134.0,0.99234,3.25,0.26,12.3,7
7.2,0.17,0.34,6.4,42,16.0,111.0,0.99278,2.99,0.4,10.8,6
7.6,0.37,0.51,11.7,94,58.0,181.0,0.99776,2.91,0.51,9.0,5
7.2,0.23,0.39,2.3,33,29.0,102.0,0.9908,3.26,0.54,12.3,7
5.9,0.27,0.27,5.0,35,14.0,97.0,0.99058,3.1,0.33,11.8,7
7.3,0.19,0.27,13.9,57,45.0,155.0,0.99807,2.94,0.41,8.8,8
6.8,0.26,0.22,4.8,41,110.0,198.0,0.99437,3.29,0.67,10.6,5
6.2,0.25,0.39,1.3,51,42.0,135.0,0.9906,3.23,0.4,11.1,6
6.6,0.4,0.3,5.3,38,20.0,125.0,0.99204,3.36,0.73,12.6,6
6.0,0.26,0.42,5.2,27,70.0,178.0,0.9914,3.4,0.4,12.3,8
6.5,0.18,0.33,8.0,51,16.0,131.0,0.9965,3.28,0.44,8.7,7
6.4,0.15,0.4,1.5,42,23.0,87.0,0.98972,3.11,0.46,12.2,7
6.6,0.31,0.07,1.5,33,55.0,144.0,0.99208,3.16,0.42,10.0,5
7.3,0.4,0.28,6.5,37,26.0,97.0,0.99148,3.16,0.58,12.6,7
8.4,0.2,0.31,2.8,54,16.0,89.0,0.99416,2.96,0.45,9.5,6
6.8,0.21,0.4,6.3,32,40.0,121.0,0.99214,3.18,0.53,12.0,7
6.6,0.32,0.27,10.9,41,37.0,146.0,0.9963,3.24,0.47,10.0,5
7.8,0.24,0.18,6.7,46,33.0,160.0,0.9963,3.2,0.56,9.8,6
7.8,0.43,0.49,13.0,33,37.0,158.0,0.9955,3.14,0.35,11.3,6
6.5,0.52,0.17,1.4,47,5.0,26.0,0.9932,3.26,0.32,10.0,4
6.6,0.22,0.37,1.6,0.04,31.0,101.0,0.99009,3.15,0.66,12.0,5
6.9,0.3,0.25,3.3,41,26.0,124.0,0.99428,3.18,0.5,9.3,6
6.4,0.23,0.35,4.6,39,43.0,147.0,0.99216,3.18,0.4,11.0,7
6.3,0.27,0.18,7.7,48,45.0,186.0,0.9962,3.23,0.47,9.0,5
6.3,0.25,0.23,14.9,39,47.0,142.0,0.99705,3.14,0.35,9.7,6
6.7,0.26,0.49,8.1,52,48.0,197.0,0.99558,3.19,0.48,9.5,5
7.3,0.21,0.21,1.6,46,35.0,133.0,0.99466,3.38,0.46,10.0,6
6.6,0.21,0.49,18.15,42,41.0,158.0,0.9997,3.28,0.39,8.7,6
6.3,0.29,0.23,14.2,37,24.0,99.0,0.99528,3.08,0.38,10.6,6
8.1,0.2,0.3,1.3,36,7.0,49.0,0.99242,2.99,0.73,10.3,5
5.9,0.29,0.28,3.2,35,16.0,117.0,0.98959,3.26,0.42,12.6,6
7.0,0.15,0.28,14.7,51,29.0,149.0,0.99792,2.96,0.39,9.0,7
7.6,0.27,0.33,2.0,59,19.0,175.0,0.9944,3.22,0.56,9.9,5
6.9,0.26,0.29,4.2,43,33.0,114.0,0.9902,3.16,0.31,12.5,6
8.0,0.19,0.3,2.0,53,48.0,140.0,994,3.18,0.49,9.6,6
7.1,0.3,0.49,1.6,45,31.0,100.0,0.9942,3.4,0.59,10.2,5
6.2,0.29,0.29,5.6,46,35.0,178.0,0.99313,3.25,0.51,10.5333333333333,5
7.7,0.17,0.52,5.9,17,21.0,84.0,0.9929,3.14,0.4,11.9,7
6.3,0.22,0.57,1.4,208,14.0,96.0,0.9932,3.16,0.43,10.0,6
6.4,0.41,0.24,14.0,48,24.0,113.0,0.9982,3.44,0.53,9.8,6
6.45,0.14,0.42,1.2,0.05,51.0,129.0,0.99116,3.27,0.69,11.1,7
6.5,0.28,0.28,20.4,41,40.0,144.0,1.0002,3.14,0.38,8.7,5
8.3,0.26,0.41,9.2,42,41.0,162.0,0.9944,3.1,0.38,12.0,7
6.3,0.32,0.32,1.5,0.03,24.0,101.0,0.98923,3.21,0.42,13.0,5
7.2,0.34,0.2,5.8,62,52.0,203.0,0.99461,3.17,0.44,9.8,6
5.9,0.26,0.21,12.5,34,36.0,152.0,0.9972,3.28,0.43,9.5,6
7.3,0.21,0.29,1.6,34,29.0,118.0,0.9917,3.3,0.5,11.0,8
6.9,0.3,0.49,7.6,57,25.0,156.0,0.9962,3.43,0.63,11.0,7
6.4,0.35,0.28,12.6,39,19.0,124.0,0.99539,3.2,0.43,10.6,6
7.1,0.16,0.36,1.2,43,21.0,90.0,0.9925,3.16,0.42,11.0,7
6.4,0.29,0.32,2.4,14,34.0,89.0,0.99008,3.24,0.66,12.5,7
9.0,0.2,0.33,3.5,49,10.0,40.0,0.9944,3.14,0.36,9.8,6
6.1,0.3,0.56,2.8,44,47.0,179.0,0.9924,3.3,0.57,10.9,7
6.8,0.21,0.27,2.1,0.03,26.0,139.0,0.99,3.16,0.61,12.6,7
6.7,0.34,0.26,1.9,38,58.0,138.0,0.9893,3.0,0.47,12.2,7
5.7,0.43,0.3,5.7,39,24.0,98.0,992,3.54,0.61,12.3,7
6.3,0.2,0.24,1.7,52,36.0,135.0,0.99374,3.8,0.66,10.8,6
7.1,0.22,0.32,16.9,56,49.0,158.0,0.9998,3.37,0.38,9.6,6
8.7,0.49,0.57,17.8,52,34.0,243.0,1.0007,2.98,0.82,9.0,5
6.0,0.29,0.41,10.8,48,55.0,149.0,0.9937,3.09,0.59,11.0,7
8.0,0.45,0.28,10.8,51,25.0,157.0,0.9957,3.06,0.47,11.4,7
7.5,0.19,0.34,2.6,37,33.0,125.0,0.9923,3.1,0.49,11.1,7
6.7,0.31,0.44,6.7,54,29.0,160.0,0.9952,3.04,0.44,9.6,5
7.4,0.18,0.36,13.1,56,72.0,163.0,1.0,3.42,0.35,9.1,6
6.4,0.38,0.24,7.2,47,41.0,151.0,0.99604,3.11,0.6,9.2,5
6.0,0.27,0.27,1.6,46,32.0,113.0,0.9924,3.41,0.51,10.5,7
8.5,0.28,0.34,13.8,41,32.0,161.0,0.9981,3.13,0.4,9.9,6
7.4,0.19,0.3,12.8,53,48.5,229.0,0.9986,3.14,0.49,9.1,7
6.3,0.34,0.36,4.9,35,31.0,185.0,0.9946,3.15,0.49,9.7,5
6.6,0.21,0.3,9.9,41,64.0,174.0,995,3.07,0.5,10.1,6
5.9,0.19,0.37,0.8,27,3.0,21.0,0.9897,3.09,0.31,10.8,5
6.4,0.3,0.16,7.5,0.05,55.0,191.0,0.9959,3.17,0.49,9.0,5
6.8,0.51,0.3,4.2,66,38.0,165.0,0.9945,3.2,0.42,9.1,5
5.6,0.32,0.33,7.4,37,25.0,95.0,0.99268,3.25,0.49,11.1,6
7.7,0.28,0.39,8.9,36,8.0,117.0,0.9935,3.06,0.38,12.0,7
6.2,0.36,0.22,5.25,38,44.0,145.0,0.99184,3.22,0.4,11.2,6
6.7,0.19,0.23,6.2,47,36.0,117.0,0.9945,3.34,0.43,9.6,6
7.5,0.27,0.31,5.8,57,131.0,313.0,0.9946,3.18,0.59,10.5,5
7.4,0.2,1.66,2.1,22,34.0,113.0,0.99165,3.26,0.55,12.2,6
6.2,0.33,0.41,16.8,37,58.0,173.0,0.99882,3.25,0.57,9.4,6
6.3,0.23,0.21,5.1,35,29.0,142.0,0.9942,3.36,0.33,10.1,7
7.8,0.42,0.26,9.2,58,34.0,199.0,0.9972,3.14,0.55,9.3,6
6.0,0.28,0.52,5.0,78,30.0,139.0,0.99494,3.1,0.36,9.0,6
5.8,0.25,0.24,13.3,44,41.0,137.0,0.9972,3.34,0.42,9.5,5
6.9,0.36,0.28,13.55,48,51.0,189.0,0.99782,3.0,0.6,9.5,7
6.0,0.2,0.26,6.8,49,22.0,93.0,0.9928,3.15,0.42,11.0,6
6.8,0.33,0.31,7.4,45,34.0,143.0,0.99226,3.06,0.55,12.2,6
7.2,0.24,0.4,1.4,45,31.0,106.0,0.9914,2.88,0.38,10.8,6
6.1,0.28,0.27,4.7,0.03,56.0,140.0,0.99042,3.16,0.42,12.5,8
7.4,0.56,0.09,1.5,71,19.0,117.0,0.99496,3.22,0.53,9.8,5
5.8,0.29,0.05,0.8,38,11.0,30.0,0.9924,3.36,0.35,9.2,5
7.3,0.42,0.38,6.8,45,29.0,122.0,0.9925,3.19,0.37,12.6,7
6.7,0.26,0.3,1.8,43,25.0,121.0,0.9944,3.44,0.61,10.2,6
6.4,0.27,0.49,7.3,46,53.0,206.0,0.9956,3.24,0.43,9.2,6
6.6,0.16,0.36,1.1,31,27.0,93.0,0.98884,3.23,0.34,13.2,8
5.6,0.21,0.24,4.4,27,37.0,150.0,991,3.3,0.31,11.5,7
6.0,0.34,0.32,3.8,44,13.0,116.0,0.99108,3.39,0.44,11.8,7
6.7,0.28,0.14,1.4,43,64.0,159.0,992,3.17,0.39,10.0,5
8.1,0.17,0.44,14.1,53,43.0,145.0,1.0006,3.28,0.75,8.8,8
7.9,0.11,0.49,4.5,48,27.0,133.0,0.9946,3.24,0.42,10.6,6
6.5,0.28,0.34,4.6,54,22.0,130.0,0.99193,3.2,0.46,12.0,7
8.2,0.42,0.29,4.1,0.03,31.0,100.0,0.9911,3.0,0.32,12.8,7
5.8,0.36,0.5,1.0,127,63.0,178.0,0.99212,3.1,0.45,9.7,5
6.8,0.22,0.31,6.3,35,33.0,170.0,0.9918,3.24,0.66,12.6,6
8.3,0.22,0.34,1.1,43,20.0,116.0,0.9927,3.0,0.47,10.2,6
6.4,0.21,0.34,16.05,0.04,56.0,142.0,0.99678,3.11,0.38,10.6,5
6.9,0.3,0.3,1.3,53,24.0,186.0,0.99361,3.29,0.54,9.9,4
5.8,555,0.26,4.5,53,17.0,126.0,0.9943,3.24,0.46,9.1,5
8.3,0.18,0.3,1.1,33,20.0,57.0,0.99109,3.02,0.51,11.0,6
6.7,0.24,0.3,3.85,42,105.0,179.0,0.99189,3.04,0.59,11.3,8
5.8,0.28,0.3,3.9,26,36.0,105.0,0.98963,3.26,0.58,12.75,6
6.5,0.29,0.52,7.9,49,35.0,192.0,0.99551,3.16,0.51,9.5,6
6.0,0.26,0.32,3.5,28,29.0,113.0,0.9912,3.4,0.71,12.3,7
6.9,0.28,0.41,1.7,0.05,10.0,136.0,993,3.16,0.71,11.4,6
6.4,0.31,0.31,12.9,45,55.0,161.0,0.99546,3.02,0.59,10.2,5
7.2,0.19,0.31,6.3,34,17.0,103.0,0.99305,3.15,0.52,11.4,7
7.0,0.23,0.42,5.1,42,37.0,144.0,0.99518,3.5,0.59,10.2,6
6.6,0.43,0.24,11.9,0.04,54.0,159.0,0.99622,3.14,0.54,9.8,6
6.5,0.24,0.19,1.2,41,30.0,111.0,0.99254,2.99,0.46,9.4,6
6.3,0.2,0.26,4.7,0.04,108.0,168.0,0.99278,3.07,0.75,10.7,7
7.7,0.43,0.37,10.0,169,22.0,210.0,0.99776,3.02,0.64,9.5,5
7.4,0.32,0.55,16.6,56,53.0,238.0,1.0017,2.96,0.58,8.7,6
6.3,0.29,0.4,6.5,39,43.0,167.0,0.9953,3.15,0.44,9.3,6
7.6,0.28,0.49,20.15,0.06,30.0,145.0,1.00196,3.01,0.44,8.5,5
6.5,0.26,0.32,16.5,45,44.0,166.0,1.0,3.38,0.46,9.5,6
6.2,0.31,0.26,4.8,37,36.0,148.0,0.9928,3.21,0.41,10.4,6
7.7,0.35,0.49,8.65,33,42.0,186.0,0.9931,3.14,0.38,12.4,8
7.1,0.44,0.23,5.8,35,24.0,100.0,0.99062,3.15,0.57,13.2,7
7.1,0.22,0.74,2.7,44,42.0,144.0,991,3.31,0.41,12.2,6
5.8,0.27,0.4,1.2,76,47.0,130.0,0.99185,3.13,0.45,10.3,6
6.3,0.22,0.33,1.7,41,67.0,164.0,0.9928,3.32,0.56,10.4,6
6.3,0.36,0.3,4.8,49,14.0,85.0,0.9932,3.28,0.39,10.6,5
5.8,275,0.3,5.4,43,41.0,149.0,0.9926,3.33,0.42,10.8,7
8.1,0.19,0.4,0.9,37,73.0,180.0,0.9926,3.06,0.34,10.0,6
6.6,0.25,0.33,8.5,42,29.0,141.0,0.99546,3.28,0.6,10.4,5
7.2,0.24,0.29,3.0,36,17.0,117.0,0.99411,3.36,0.68,10.1,6
7.1,0.21,0.3,1.4,37,45.0,143.0,0.9932,3.13,0.33,9.9,6
7.4,0.14,0.3,1.3,33,25.0,91.0,0.99268,3.53,0.39,10.6,6
7.0,0.16,0.25,14.3,44,27.0,149.0,998,2.91,0.46,9.2,6
8.9,0.21,0.34,7.1,37,33.0,150.0,0.9962,3.1,0.45,9.7,6
6.2,0.32,0.12,4.8,54,6.0,97.0,0.99424,3.16,0.5,9.3,5
8.5,0.15,0.49,1.5,31,17.0,122.0,0.9932,3.03,0.4,10.3,6
6.1,0.22,0.28,16.55,59,54.0,135.0,0.99665,3.2,0.38,10.5,5
5.7,0.25,0.27,11.5,0.04,24.0,120.0,0.99411,3.33,0.31,10.8,6
6.9,0.22,0.32,9.3,0.04,22.0,110.0,0.9958,3.34,0.54,10.7,7
7.4,0.25,0.36,13.2,67,53.0,178.0,0.9976,3.01,0.48,9.0,6
6.0,0.25,0.28,2.2,26,54.0,126.0,0.9898,3.43,0.65,12.9,8
7.2,0.29,0.18,8.2,42,41.0,180.0,0.99644,3.16,0.49,9.1,5
6.8,0.22,0.31,6.9,37,33.0,121.0,0.99176,3.02,0.39,11.9,8
6.9,0.21,0.49,1.4,41,15.0,164.0,0.9927,3.25,0.63,11.0,5
7.6,0.14,0.74,1.6,0.04,27.0,103.0,0.9916,3.07,0.4,10.8,7
5.9,0.46,0.14,2.7,42,27.0,160.0,0.9931,3.46,0.51,10.6,7
6.7,0.26,0.39,1.1,0.04,45.0,147.0,0.9935,3.32,0.58,9.6,8
7.9,0.17,0.32,1.6,53,47.0,150.0,0.9948,3.29,0.76,9.6,6
7.6,0.29,0.26,6.5,42,32.0,160.0,0.9944,3.14,0.47,10.7,5
6.8,0.22,0.37,15.2,51,68.0,178.0,0.99935,3.4,0.85,9.3,6
5.1,0.25,0.36,1.3,35,40.0,78.0,0.9891,3.23,0.64,12.1,7
6.8,0.45,0.36,5.0,33,28.0,156.0,991,3.11,0.4,12.4,7
6.4,0.24,0.31,2.8,38,41.0,114.0,0.99155,3.37,0.66,11.7,7
6.6,0.17,0.26,7.4,52,45.0,128.0,0.99388,3.16,0.37,10.0,6
6.5,0.23,0.38,1.3,32,29.0,112.0,0.99298,3.29,0.54,9.7,5
6.8,0.22,0.49,0.9,52,26.0,128.0,991,3.25,0.35,11.4,6
7.8,0.21,0.49,1.35,52,6.0,48.0,0.9911,3.15,0.28,11.4,5
6.9,0.3,0.45,1.4,39,36.0,122.0,0.99059,3.07,0.47,11.1,7
6.1,0.3,0.47,1.4,49,50.0,187.0,0.9927,3.19,0.45,9.5,5
6.9,0.3,0.29,1.3,53,24.0,189.0,0.99362,3.29,0.54,9.9,4
5.1,0.26,0.34,6.4,34,26.0,99.0,0.99449,3.23,0.41,9.2,6
6.0,0.42,0.41,12.4,32,50.0,179.0,0.99622,3.14,0.6,9.7,5
6.7,0.24,0.35,13.1,0.05,64.0,205.0,997,3.15,0.5,9.5,5
6.6,0.24,0.35,7.7,31,36.0,135.0,0.9938,3.19,0.37,10.5,5
7.3,0.17,0.24,8.1,121,32.0,162.0,0.99508,3.17,0.38,10.4,8
5.9,0.21,0.31,1.8,33,45.0,142.0,0.98984,3.35,0.5,12.7,6
6.6,0.23,0.32,1.7,24,26.0,102.0,0.99084,3.29,0.6,11.8,6
6.0,0.29,0.27,2.3,44,20.0,117.0,0.9895,3.31,0.41,12.7,7
6.7,0.13,0.28,1.2,46,35.0,140.0,0.9927,3.33,0.33,10.1,7
9.2,0.23,0.3,1.1,31,40.0,99.0,0.9929,2.94,0.3,10.4,6
8.6,0.31,0.3,0.9,45,16.0,109.0,0.99249,2.95,0.39,10.1,5
7.5,0.16,0.38,12.7,43,70.5,163.0,0.99706,3.15,0.82,10.4,7
6.15,0.21,0.37,3.2,21,20.0,80.0,0.99076,3.39,0.47,12.0,5
7.5,0.33,0.48,19.45,48,55.0,243.0,1001,2.95,0.4,8.8,5
6.8,0.16,0.29,10.4,46,59.0,143.0,0.99518,3.2,0.4,10.8,6
6.9,0.28,0.37,9.1,37,16.0,76.0,0.9948,3.05,0.54,11.1,5
7.0,0.22,0.26,1.1,37,20.0,71.0,0.9902,3.1,0.38,11.7,6
7.2,0.26,0.74,13.6,0.05,56.0,162.0,998,3.03,0.44,8.8,5
5.7,0.2,0.24,13.8,47,44.0,112.0,0.99837,2.97,0.66,8.8,6
6.8,0.29,0.16,1.4,38,122.5,234.5,0.9922,3.15,0.47,10.0,4
6.6,0.27,0.33,1.4,42,24.0,183.0,0.99215,3.29,0.46,10.7,5
5.5,0.17,0.23,2.9,39,10.0,108.0,0.99243,3.28,0.5,10.0,5
6.6,0.26,0.24,7.2,38,28.0,137.0,0.9952,3.35,0.6,10.4,6
6.6,0.25,0.35,2.9,34,38.0,121.0,0.99008,3.19,0.4,12.8,6
6.5,0.23,0.36,16.3,38,43.0,133.0,0.99924,3.26,0.41,8.8,5
8.0,0.18,0.37,1.3,0.04,15.0,96.0,0.9912,3.06,0.61,12.1,6
7.3,0.49,0.32,5.2,43,18.0,104.0,0.9952,3.24,0.45,10.7,4
5.7,0.23,0.28,9.65,25,26.0,121.0,0.9925,3.28,0.38,11.3,6
8.4,0.31,0.31,0.95,21,52.0,148.0,0.99038,2.93,0.32,11.5,5
5.3,0.23,0.56,0.9,41,46.0,141.0,0.99119,3.16,0.62,9.7,5
7.0,0.24,0.51,11.0,29,55.0,227.0,0.9965,3.03,0.61,9.5,5
7.8,0.26,0.27,1.9,51,52.0,195.0,0.9928,3.23,0.5,10.9,6
6.8,0.18,0.35,5.4,54,53.0,143.0,0.99287,3.1,0.54,11.0,7
6.2,0.29,0.23,12.4,48,33.0,201.0,0.99612,3.11,0.56,9.9,6
6.4,0.17,0.34,13.4,44,45.0,139.0,0.99752,3.06,0.43,9.1,6
9.4,0.16,0.3,1.4,42,26.0,176.0,0.9954,3.15,0.46,9.1,5
6.4,0.32,0.26,7.9,0.05,53.0,180.0,0.99514,3.14,0.5,9.6,5
6.6,0.21,0.29,5.35,29,43.0,106.0,0.99112,2.93,0.43,11.5,7
6.4,0.31,0.28,1.5,37,12.0,119.0,0.9919,3.32,0.51,10.4,7
7.7,0.24,0.31,1.3,47,33.0,106.0,993,3.22,0.55,10.8,6
7.0,0.22,0.31,2.7,0.03,41.0,136.0,0.9898,3.16,0.37,12.7,7
7.5,0.24,0.31,13.1,0.05,26.0,180.0,0.99884,3.05,0.53,9.1,6
6.5,0.28,0.25,4.8,29,54.0,128.0,0.99074,3.17,0.44,12.2,7
8.7,0.3,0.59,1.7,46,10.0,70.0,0.99373,3.06,0.56,10.8,4
6.2,0.24,0.25,12.5,55,47.0,134.0,0.99758,3.3,0.51,9.0,5
6.6,0.25,0.41,7.4,43,29.0,151.0,0.9946,3.15,0.6,10.2,7
6.4,0.28,0.28,3.0,0.04,19.0,98.0,0.99216,3.25,0.47,11.1,6
6.6,0.31,0.49,7.7,0.05,52.0,220.0,0.9964,3.12,0.45,8.8,5
7.2,0.24,0.34,1.1,45,3.0,64.0,0.9913,3.23,0.51,11.4,5
6.9,0.17,0.3,2.0,47,13.0,117.0,0.99152,3.16,0.51,11.6,6
6.6,0.19,0.99,1.2,122,45.0,129.0,0.9936,3.09,0.31,8.7,6
8.6,0.34,0.36,1.4,45,11.0,119.0,0.99556,3.17,0.47,9.4,4
6.2,0.27,0.26,12.1,46,43.0,127.0,0.9951,3.16,0.37,10.8,6
6.2,0.23,0.38,1.6,44,12.0,113.0,0.99176,3.3,0.73,11.4,5
6.1,0.3,0.3,2.1,31,50.0,163.0,0.9895,3.39,0.43,12.7,7
6.6,0.26,0.31,4.8,138,41.0,168.0,0.9951,3.2,0.38,9.3,5
7.0,0.24,0.24,1.8,47,29.0,91.0,0.99251,3.3,0.43,9.9,6
7.6,0.48,0.28,10.4,49,57.0,205.0,0.99748,3.24,0.45,9.3,5
8.0,0.27,0.25,19.1,45,50.0,208.0,1.00051,3.05,0.5,9.2,6
6.5,0.24,0.28,1.1,34,26.0,83.0,0.98928,3.25,0.33,12.3,6
7.0,0.13,0.37,12.85,42,36.0,105.0,0.99581,3.05,0.55,10.7,6
6.8,0.19,0.58,14.2,38,51.0,164.0,0.9975,3.12,0.48,9.6,6
8.6,0.22,0.33,1.2,31,38.0,95.0,0.99239,2.83,0.31,10.3,5
5.3,0.26,0.23,5.15,34,48.0,160.0,0.9952,3.82,0.51,10.5,7
5.8,0.26,0.24,9.2,44,55.0,152.0,0.9961,3.31,0.38,9.4,5
8.8,0.19,0.3,5.0,28,34.0,120.0,0.99242,2.94,0.47,11.2,5
6.0,0.26,0.15,1.3,0.06,51.0,154.0,0.99354,3.14,0.51,8.7,5
6.4,0.24,0.25,20.2,83,35.0,157.0,0.99976,3.17,0.5,9.1,5
6.8,0.18,0.3,12.8,62,19.0,171.0,0.99808,3.0,0.52,9.0,7
8.6,0.37,0.7,12.15,39,21.0,158.0,0.9983,3.0,0.73,9.3,6
7.8,0.42,0.23,8.8,54,42.0,215.0,0.9971,3.02,0.58,9.2,6
6.5,0.36,0.28,3.2,37,29.0,119.0,0.9908,3.25,0.65,12.4,8
7.8,0.43,0.49,13.0,33,37.0,158.0,0.9955,3.14,0.35,11.3,6
7.5,0.27,0.36,7.0,36,45.0,164.0,0.9939,3.03,0.33,11.0,5
7.2,0.17,0.28,17.55,0.05,33.0,154.0,0.99971,2.94,0.43,9.0,7
6.1,0.25,0.3,1.2,36,42.0,107.0,991,3.34,0.56,10.8,7
7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,3.27,0.29,9.2,6
7.5,0.18,0.31,6.5,29,53.0,160.0,0.99276,3.03,0.38,10.9,6
6.0,0.27,0.28,4.8,63,31.0,201.0,0.9964,3.69,0.71,10.0,5
6.0,0.32,0.33,9.9,32,22.0,90.0,0.99258,3.1,0.43,12.1,7
8.8,0.34,0.33,9.7,36,46.0,172.0,0.9966,3.08,0.4,10.2,5
8.4,0.22,0.3,1.3,38,45.0,122.0,0.99178,3.13,0.54,10.8,7
7.6,0.3,0.38,2.1,43,10.0,98.0,0.99296,3.17,0.65,11.0,5
7.1,0.18,0.32,12.2,48,36.0,125.0,0.9967,2.92,0.54,9.4,6
7.2,0.21,0.41,1.3,36,33.0,85.0,992,3.17,0.51,10.4,5
7.2,0.32,0.4,8.7,38,45.0,154.0,0.99568,3.2,0.47,10.4,6
7.2,0.24,0.27,1.4,38,31.0,122.0,0.9927,3.15,0.46,10.3,6
7.1,0.34,0.86,1.4,174,36.0,99.0,0.99288,2.92,0.5,9.3,5
7.4,0.28,0.4,11.9,32,13.0,92.0,0.99629,3.01,0.46,10.8,4
9.4,0.26,0.53,1.2,47,25.0,109.0,0.9921,3.23,0.28,12.5,6
6.7,0.54,0.27,7.1,49,8.0,178.0,0.99502,3.16,0.38,9.4,4
5.7,0.26,0.24,17.8,59,23.0,124.0,0.99773,3.3,0.5,10.1,5
6.4,0.14,0.31,1.2,34,53.0,138.0,0.99084,3.38,0.35,11.5,7
7.7,0.28,0.33,6.7,37,32.0,155.0,0.9951,3.39,0.62,10.7,7
6.7,0.36,0.26,7.9,34,39.0,123.0,0.99119,2.99,0.3,12.2,7
6.9,0.19,0.38,1.15,23,30.0,105.0,0.99047,3.11,0.38,11.4,5
6.8,0.26,0.26,2.0,19,23.5,72.0,0.99041,3.16,0.47,11.8,6
7.2,0.17,0.34,6.4,42,16.0,111.0,0.99278,2.99,0.4,10.8,6
7.4,0.16,0.49,1.2,55,18.0,150.0,0.9917,3.23,0.47,11.2,6
7.5,0.24,0.62,10.6,45,51.0,153.0,0.99779,3.16,0.44,8.8,5
8.0,0.19,0.36,1.8,0.05,16.0,84.0,0.9936,3.15,0.45,9.8,7
8.4,0.19,0.42,1.6,47,9.0,101.0,994,3.06,0.65,11.1,4
6.0,0.28,0.29,19.3,51,36.0,174.0,0.99911,3.14,0.5,9.0,5
5.9,0.32,0.2,14.4,0.05,29.0,144.0,0.99666,3.24,0.41,10.3,6
6.6,0.24,0.38,12.75,34,8.0,74.0,0.99386,3.1,0.57,12.9,6
7.2,0.34,0.28,10.4,108,43.0,187.0,0.99738,2.96,0.57,9.4,5
6.6,0.39,0.39,11.9,57,51.0,221.0,0.99851,3.26,0.51,8.9,6
5.5,0.23,0.19,2.2,44,39.0,161.0,0.99209,3.19,0.43,10.4,6
6.0,0.26,0.29,3.1,41,37.0,144.0,0.98944,3.22,0.39,12.8,7
7.4,0.19,0.42,6.4,67,39.0,212.0,0.9958,3.3,0.33,9.6,6
6.0,0.36,0.16,6.3,36,36.0,191.0,0.9942,3.17,0.62,9.8,5
8.2,0.34,0.29,5.2,76,19.0,92.0,0.99138,2.95,0.39,12.5,6
7.7,0.26,0.34,6.4,0.05,36.0,163.0,0.9937,3.19,0.7,11.5,6
6.7,0.21,0.42,9.1,49,31.0,150.0,0.9953,3.12,0.74,9.9,7
6.9,0.32,0.26,8.3,53,32.0,180.0,0.9965,3.25,0.51,9.2,6
7.7,0.32,0.62,10.6,36,56.0,153.0,0.9978,3.13,0.44,8.9,6
6.6,0.27,0.29,5.3,45,57.0,189.0,0.9953,3.31,0.79,9.8,5
6.8,0.28,0.29,11.9,52,51.0,149.0,0.99544,3.02,0.58,10.4,6
6.4,125,0.36,1.4,44,22.0,68.0,0.99014,3.15,0.5,11.7,7
